loss,delay,fast_recovery,md5_hash,ttc
3.5,20,1,10604d4b20f7507426c10a49c960c63d,0.249436616897583
3.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2507152557373047
3.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2459883689880371
3.5,20,1,10604d4b20f7507426c10a49c960c63d,0.3622586727142334
4.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24779582023620605
4.0,20,0,10604d4b20f7507426c10a49c960c63d,0.2531709671020508
4.0,20,0,10604d4b20f7507426c10a49c960c63d,0.37775492668151855
4.0,20,0,10604d4b20f7507426c10a49c960c63d,0.2485051155090332
4.0,20,0,10604d4b20f7507426c10a49c960c63d,0.25252747535705566
4.0,20,1,10604d4b20f7507426c10a49c960c63d,0.25009632110595703
4.0,20,1,10604d4b20f7507426c10a49c960c63d,0.2553408145904541
4.0,20,1,10604d4b20f7507426c10a49c960c63d,0.2533128261566162
4.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24933981895446777
4.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24538731575012207
4.5,20,0,10604d4b20f7507426c10a49c960c63d,1.4481163024902344
4.5,20,0,10604d4b20f7507426c10a49c960c63d,0.25533437728881836
4.5,20,0,10604d4b20f7507426c10a49c960c63d,0.24976873397827148
4.5,20,0,10604d4b20f7507426c10a49c960c63d,0.25246477127075195
4.5,20,0,10604d4b20f7507426c10a49c960c63d,0.3849363327026367
4.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2479405403137207
4.5,20,1,10604d4b20f7507426c10a49c960c63d,0.24722909927368164
4.5,20,1,10604d4b20f7507426c10a49c960c63d,0.24657583236694336
4.5,20,1,10604d4b20f7507426c10a49c960c63d,1.2742695808410645
4.5,20,1,10604d4b20f7507426c10a49c960c63d,0.7521090507507324
5.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24912405014038086
5.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24865436553955078
5.0,20,0,10604d4b20f7507426c10a49c960c63d,0.25011229515075684
5.0,20,0,10604d4b20f7507426c10a49c960c63d,0.2514064311981201
5.0,20,0,10604d4b20f7507426c10a49c960c63d,0.7507343292236328
5.0,20,1,10604d4b20f7507426c10a49c960c63d,0.631624698638916
5.0,20,1,10604d4b20f7507426c10a49c960c63d,0.7452826499938965
5.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24891304969787598
5.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24271440505981445
5.0,20,1,10604d4b20f7507426c10a49c960c63d,0.3791067600250244
